,Subject,Hazard,Ipast,Ifuture,DFB,W
0,1,Low,0.49092278218633933,0.30879348433519205,-0.11460108147356285,0.4233945658087549
1,2,Low,0.7576110925034837,0.6076035094106211,-0.025807655858802736,0.6334111652694239
2,3,Low,0.9118914769445192,0.7513985992367741,0.014788799645751194,0.7366097995910229
3,4,Low,0.7800824422902445,0.4451582133231083,-0.2045575608287265,0.6497157741518348
4,5,Low,0.636696143187512,0.24579819369617173,-0.29545278581044165,0.5412509795066134
5,6,Low,0.3578097690304298,0.2294574678782604,-0.07931795338321615,0.30877542126147656
6,7,Low,0.3972575862394001,0.2116256629531859,-0.13118781368873672,0.34281347664192263
7,8,Low,0.8519503982889132,0.5831377481472777,-0.1162223060616413,0.699360054208919
8,9,Low,0.12723806544234265,0.03304556353593502,-0.0767781039613191,0.10982366749725411
9,10,Low,0.7480829693228533,0.6628198499749701,0.036404250798962146,0.626415599176008
10,1,High,0.13837771399122875,0.0012966911001705155,-0.11689838121376696,0.11819507231393747
11,2,High,0.8507327113348934,0.5237333282521446,-0.16302719210276395,0.6867605203549085
12,3,High,0.7522592058114521,0.5830877545436736,-0.03692821750198738,0.620015972045661
13,4,High,0.7644788078562,0.42851407924488594,-0.20018519083428188,0.6286992700791678
14,5,High,0.4679859887299897,0.2560346731628805,-0.14354493804130597,0.39957961120418645
15,6,High,0.7221093238612716,0.6053909835416594,0.007202232197935032,0.5981887513437244
16,7,High,0.27005994611171946,0.0854851629649702,-0.14515486150253537,0.2306400244675056
17,8,High,0.7158349114209147,0.5142913052531465,-0.0792942168771339,0.5935855221302804
18,9,High,0.12151507038155643,0.018860082262637502,-0.08493578733929472,0.10379586960193221
19,10,High,0.42035126873859496,0.3488779658651499,-0.010097524289269744,0.35897549015441965
